cod;nome;período;valor
41;PR;1989;455
43;RS;1989;744
50;MS;1989;147
51;MT;1989;165
52;GO;1989;302
53;DF;1989;177
11;RO;1989;161
12;AC;1989;52
13;AM;1989;141
14;RR;1989;53
15;PA;1989;276
16;AP;1989;27
17;TO;1989;15
21;MA;1989;160
22;PI;1989;60
23;CE;1989;286
24;RN;1989;108
25;PB;1989;169
26;PE;1989;1235
27;AL;1989;310
28;SE;1989;59
29;BA;1989;527
31;MG;1989;479
32;ES;1989;320
33;RJ;1989;2170
35;SP;1989;5186
42;SC;1989;153
16;AP;1990;18
15;PA;1990;337
14;RR;1990;52
13;AM;1990;193
12;AC;1990;29
11;RO;1990;202
53;DF;1990;234
52;GO;1990;277
51;MT;1990;139
50;MS;1990;137
43;RS;1990;826
42;SC;1990;140
41;PR;1990;483
35;SP;1990;5300
33;RJ;1990;3616
32;ES;1990;344
31;MG;1990;457
29;BA;1990;406
28;SE;1990;80
27;AL;1990;263
26;PE;1990;1275
25;PB;1990;172
24;RN;1990;85
23;CE;1990;230
22;PI;1990;50
21;MA;1990;182
17;TO;1990;19
22;PI;1991;37
33;RJ;1991;2484
35;SP;1991;5227
41;PR;1991;459
42;SC;1991;131
43;RS;1991;755
50;MS;1991;142
51;MT;1991;146
52;GO;1991;346
53;DF;1991;272
11;RO;1991;184
12;AC;1991;53
13;AM;1991;231
14;RR;1991;28
15;PA;1991;344
16;AP;1991;28
17;TO;1991;30
21;MA;1991;200
23;CE;1991;281
24;RN;1991;110
25;PB;1991;170
26;PE;1991;1325
27;AL;1991;219
28;SE;1991;118
29;BA;1991;236
31;MG;1991;480
32;ES;1991;377
28;SE;1992;199
27;AL;1992;219
26;PE;1992;1013
25;PB;1992;150
24;RN;1992;85
23;CE;1992;244
22;PI;1992;37
21;MA;1992;149
17;TO;1992;21
16;AP;1992;41
15;PA;1992;325
14;RR;1992;43
13;AM;1992;170
12;AC;1992;51
11;RO;1992;121
53;DF;1992;231
52;GO;1992;288
51;MT;1992;126
50;MS;1992;153
43;RS;1992;678
42;SC;1992;145
41;PR;1992;440
35;SP;1992;5002
33;RJ;1992;2132
32;ES;1992;322
31;MG;1992;418
29;BA;1992;369
53;DF;1993;296
27;AL;1993;223
26;PE;1993;1318
25;PB;1993;157
24;RN;1993;119
23;CE;1993;330
22;PI;1993;47
21;MA;1993;150
17;TO;1993;30
16;AP;1993;34
15;PA;1993;269
14;RR;1993;22
13;AM;1993;169
12;AC;1993;62
11;RO;1993;183
29;BA;1993;775
31;MG;1993;472
32;ES;1993;466
33;RJ;1993;2431
35;SP;1993;4858
41;PR;1993;505
42;SC;1993;146
43;RS;1993;516
50;MS;1993;165
51;MT;1993;138
52;GO;1993;266
28;SE;1993;151
12;AC;1994;43
16;AP;1994;63
17;TO;1994;42
21;MA;1994;130
22;PI;1994;49
23;CE;1994;284
24;RN;1994;99
25;PB;1994;193
26;PE;1994;1300
27;AL;1994;236
28;SE;1994;167
29;BA;1994;880
31;MG;1994;448
32;ES;1994;476
33;RJ;1994;2909
35;SP;1994;5546
41;PR;1994;516
42;SC;1994;131
43;RS;1994;588
50;MS;1994;208
51;MT;1994;109
52;GO;1994;327
53;DF;1994;301
15;PA;1994;333
14;RR;1994;29
13;AM;1994;218
11;RO;1994;153
27;AL;1995;262
42;SC;1995;155
43;RS;1995;604
50;MS;1995;264
51;MT;1995;181
52;GO;1995;291
11;RO;1995;122
12;AC;1995;47
13;AM;1995;221
14;RR;1995;41
15;PA;1995;300
16;AP;1995;70
17;TO;1995;35
21;MA;1995;154
22;PI;1995;44
26;PE;1995;1274
25;PB;1995;198
24;RN;1995;97
41;PR;1995;595
23;CE;1995;406
35;SP;1995;6030
33;RJ;1995;3914
32;ES;1995;512
53;DF;1995;329
31;MG;1995;511
29;BA;1995;723
28;SE;1995;113
31;MG;1996;501
53;DF;1996;308
52;GO;1996;291
51;MT;1996;229
50;MS;1996;285
43;RS;1996;593
42;SC;1996;154
41;PR;1996;599
35;SP;1996;6377
33;RJ;1996;3747
32;ES;1996;518
29;BA;1996;918
28;SE;1996;108
27;AL;1996;295
26;PE;1996;1442
25;PB;1996;259
24;RN;1996;98
23;CE;1996;405
22;PI;1996;48
21;MA;1996;148
17;TO;1996;48
16;AP;1996;80
15;PA;1996;310
14;RR;1996;42
13;AM;1996;245
12;AC;1996;42
11;RO;1996;89
13;AM;1997;257
12;AC;1997;55
11;RO;1997;137
53;DF;1997;328
52;GO;1997;293
51;MT;1997;268
50;MS;1997;285
43;RS;1997;694
42;SC;1997;156
41;PR;1997;651
35;SP;1997;6534
33;RJ;1997;3901
32;ES;1997;667
31;MG;1997;532
29;BA;1997;1013
28;SE;1997;97
27;AL;1997;225
26;PE;1997;1954
25;PB;1997;225
24;RN;1997;114
23;CE;1997;462
22;PI;1997;68
21;MA;1997;132
17;TO;1997;40
16;AP;1997;80
15;PA;1997;359
14;RR;1997;37
13;AM;1998;309
27;AL;1998;234
26;PE;1998;2437
25;PB;1998;215
24;RN;1998;115
23;CE;1998;447
22;PI;1998;66
21;MA;1998;118
17;TO;1998;41
16;AP;1998;92
15;PA;1998;410
14;RR;1998;59
32;ES;1998;816
33;RJ;1998;3783
35;SP;1998;7502
41;PR;1998;693
42;SC;1998;148
43;RS;1998;641
50;MS;1998;268
51;MT;1998;311
52;GO;1998;294
29;BA;1998;616
53;DF;1998;354
28;SE;1998;84
31;MG;1998;648
12;AC;1998;55
11;RO;1998;189
12;AC;1999;22
13;AM;1999;292
11;RO;1999;155
14;RR;1999;73
15;PA;1999;297
16;AP;1999;113
17;TO;1999;57
21;MA;1999;105
22;PI;1999;71
23;CE;1999;478
24;RN;1999;78
25;PB;1999;189
26;PE;1999;2282
27;AL;1999;252
28;SE;1999;149
29;BA;1999;442
31;MG;1999;693
32;ES;1999;752
33;RJ;1999;3650
35;SP;1999;8490
41;PR;1999;749
42;SC;1999;128
43;RS;1999;711
50;MS;1999;240
51;MT;1999;304
52;GO;1999;366
53;DF;1999;371
11;RO;2000;191
12;AC;2000;58
52;GO;2000;482
13;AM;2000;331
14;RR;2000;59
15;PA;2000;388
16;AP;2000;105
17;TO;2000;81
21;MA;2000;170
22;PI;2000;118
23;CE;2000;577
24;RN;2000;109
25;PB;2000;277
26;PE;2000;2317
27;AL;2000;365
28;SE;2000;208
29;BA;2000;607
31;MG;2000;1058
32;ES;2000;692
33;RJ;2000;3761
35;SP;2000;8705
41;PR;2000;833
42;SC;2000;154
43;RS;2000;747
50;MS;2000;281
51;MT;2000;396
53;DF;2000;388
24;RN;2001;140
11;RO;2001;208
12;AC;2001;64
13;AM;2001;258
14;RR;2001;48
15;PA;2001;469
16;AP;2001;108
17;TO;2001;79
21;MA;2001;271
22;PI;2001;113
23;CE;2001;604
25;PB;2001;264
26;PE;2001;2616
27;AL;2001;456
28;SE;2001;291
29;BA;2001;848
31;MG;2001;1153
32;ES;2001;723
33;RJ;2001;3726
35;SP;2001;8655
41;PR;2001;946
42;SC;2001;189
43;RS;2001;807
50;MS;2001;235
51;MT;2001;384
52;GO;2001;533
53;DF;2001;419
42;SC;2002;231
41;PR;2002;1147
35;SP;2002;8077
33;RJ;2002;4329
32;ES;2002;862
16;AP;2002;115
11;RO;2002;265
12;AC;2002;84
13;AM;2002;295
14;RR;2002;64
15;PA;2002;601
31;MG;2002;1504
29;BA;2002;949
28;SE;2002;307
27;AL;2002;529
26;PE;2002;2474
25;PB;2002;299
24;RN;2002;133
23;CE;2002;669
