cod;nome;período;valor
25;PB;1989;24
11;RO;1989;27
12;AC;1989;4
13;AM;1989;20
14;RR;1989;8
15;PA;1989;27
16;AP;1989;2
17;TO;1989;7
21;MA;1989;13
22;PI;1989;8
23;CE;1989;13
24;RN;1989;5
31;MG;1989;67
26;PE;1989;90
27;AL;1989;29
28;SE;1989;5
29;BA;1989;46
53;DF;1989;8
52;GO;1989;41
51;MT;1989;15
50;MS;1989;21
43;RS;1989;62
42;SC;1989;15
41;PR;1989;45
35;SP;1989;336
33;RJ;1989;140
32;ES;1989;29
31;MG;1990;63
29;BA;1990;30
28;SE;1990;8
27;AL;1990;20
26;PE;1990;101
25;PB;1990;13
24;RN;1990;7
23;CE;1990;23
22;PI;1990;2
21;MA;1990;17
17;TO;1990;3
16;AP;1990;3
15;PA;1990;39
14;RR;1990;11
13;AM;1990;14
12;AC;1990;4
11;RO;1990;21
53;DF;1990;17
52;GO;1990;32
51;MT;1990;16
50;MS;1990;19
43;RS;1990;60
42;SC;1990;18
41;PR;1990;54
35;SP;1990;340
33;RJ;1990;215
32;ES;1990;40
11;RO;1991;11
53;DF;1991;21
52;GO;1991;51
51;MT;1991;26
50;MS;1991;24
43;RS;1991;68
42;SC;1991;16
41;PR;1991;60
35;SP;1991;374
33;RJ;1991;154
32;ES;1991;36
29;BA;1991;29
28;SE;1991;13
27;AL;1991;19
26;PE;1991;100
25;PB;1991;13
24;RN;1991;9
23;CE;1991;22
22;PI;1991;6
21;MA;1991;27
17;TO;1991;3
16;AP;1991;2
15;PA;1991;36
14;RR;1991;5
13;AM;1991;10
12;AC;1991;6
31;MG;1991;60
11;RO;1992;19
53;DF;1992;14
52;GO;1992;52
51;MT;1992;17
50;MS;1992;28
43;RS;1992;62
42;SC;1992;12
41;PR;1992;42
35;SP;1992;283
33;RJ;1992;125
32;ES;1992;39
31;MG;1992;62
29;BA;1992;36
28;SE;1992;9
27;AL;1992;24
26;PE;1992;75
25;PB;1992;15
24;RN;1992;7
23;CE;1992;20
22;PI;1992;4
21;MA;1992;13
17;TO;1992;2
16;AP;1992;2
15;PA;1992;27
14;RR;1992;4
13;AM;1992;8
12;AC;1992;10
11;RO;1993;23
12;AC;1993;3
13;AM;1993;17
14;RR;1993;3
15;PA;1993;21
16;AP;1993;2
17;TO;1993;7
21;MA;1993;15
22;PI;1993;8
23;CE;1993;30
24;RN;1993;9
25;PB;1993;10
26;PE;1993;96
27;AL;1993;15
28;SE;1993;8
29;BA;1993;46
31;MG;1993;61
32;ES;1993;50
33;RJ;1993;124
35;SP;1993;325
41;PR;1993;62
42;SC;1993;13
43;RS;1993;49
50;MS;1993;14
51;MT;1993;20
52;GO;1993;51
53;DF;1993;23
11;RO;1994;16
12;AC;1994;5
13;AM;1994;13
14;RR;1994;2
15;PA;1994;29
16;AP;1994;6
17;TO;1994;8
21;MA;1994;6
22;PI;1994;5
23;CE;1994;22
24;RN;1994;7
25;PB;1994;9
26;PE;1994;80
27;AL;1994;21
28;SE;1994;14
29;BA;1994;82
31;MG;1994;74
32;ES;1994;41
33;RJ;1994;181
35;SP;1994;369
41;PR;1994;54
42;SC;1994;19
43;RS;1994;56
50;MS;1994;24
51;MT;1994;4
52;GO;1994;36
53;DF;1994;21
16;AP;1995;2
11;RO;1995;10
12;AC;1995;5
13;AM;1995;21
14;RR;1995;5
15;PA;1995;21
17;TO;1995;4
21;MA;1995;19
22;PI;1995;9
23;CE;1995;18
24;RN;1995;9
25;PB;1995;37
26;PE;1995;96
27;AL;1995;29
28;SE;1995;11
29;BA;1995;57
31;MG;1995;52
32;ES;1995;57
33;RJ;1995;214
35;SP;1995;456
41;PR;1995;71
42;SC;1995;20
43;RS;1995;64
50;MS;1995;18
51;MT;1995;33
52;GO;1995;54
53;DF;1995;29
21;MA;1996;14
53;DF;1996;27
52;GO;1996;55
51;MT;1996;39
50;MS;1996;33
43;RS;1996;84
42;SC;1996;28
41;PR;1996;77
35;SP;1996;431
33;RJ;1996;248
32;ES;1996;54
17;TO;1996;5
22;PI;1996;2
23;CE;1996;36
24;RN;1996;15
31;MG;1996;77
25;PB;1996;43
26;PE;1996;84
27;AL;1996;32
28;SE;1996;13
29;BA;1996;83
11;RO;1996;16
12;AC;1996;7
13;AM;1996;16
14;RR;1996;9
15;PA;1996;38
16;AP;1996;11
12;AC;1997;4
53;DF;1997;21
52;GO;1997;32
51;MT;1997;34
50;MS;1997;22
43;RS;1997;71
42;SC;1997;17
41;PR;1997;67
35;SP;1997;502
33;RJ;1997;243
32;ES;1997;58
31;MG;1997;69
11;RO;1997;17
29;BA;1997;80
28;SE;1997;9
27;AL;1997;33
26;PE;1997;98
25;PB;1997;21
24;RN;1997;10
23;CE;1997;33
22;PI;1997;4
21;MA;1997;17
17;TO;1997;7
16;AP;1997;5
15;PA;1997;27
14;RR;1997;5
13;AM;1997;19
12;AC;1998;4
53;DF;1998;27
52;GO;1998;24
51;MT;1998;44
50;MS;1998;38
43;RS;1998;75
42;SC;1998;28
41;PR;1998;69
35;SP;1998;518
33;RJ;1998;223
32;ES;1998;64
31;MG;1998;81
29;BA;1998;39
28;SE;1998;3
27;AL;1998;26
26;PE;1998;122
25;PB;1998;24
24;RN;1998;9
23;CE;1998;27
22;PI;1998;8
21;MA;1998;13
17;TO;1998;10
16;AP;1998;5
15;PA;1998;28
14;RR;1998;5
13;AM;1998;33
11;RO;1998;20
11;RO;1999;16
53;DF;1999;31
52;GO;1999;50
51;MT;1999;33
50;MS;1999;24
43;RS;1999;68
42;SC;1999;19
41;PR;1999;64
35;SP;1999;529
33;RJ;1999;225
32;ES;1999;63
31;MG;1999;98
29;BA;1999;33
28;SE;1999;18
27;AL;1999;21
26;PE;1999;130
25;PB;1999;13
24;RN;1999;6
23;CE;1999;34
22;PI;1999;4
21;MA;1999;7
17;TO;1999;11
16;AP;1999;11
15;PA;1999;16
14;RR;1999;4
13;AM;1999;24
12;AC;1999;4
27;AL;2000;30
53;DF;2000;19
52;GO;2000;65
51;MT;2000;26
50;MS;2000;33
43;RS;2000;53
42;SC;2000;18
41;PR;2000;59
35;SP;2000;544
33;RJ;2000;220
32;ES;2000;52
31;MG;2000;108
29;BA;2000;59
28;SE;2000;10
26;PE;2000;153
25;PB;2000;20
24;RN;2000;13
23;CE;2000;43
22;PI;2000;7
21;MA;2000;17
17;TO;2000;5
16;AP;2000;2
15;PA;2000;30
14;RR;2000;9
13;AM;2000;21
12;AC;2000;9
11;RO;2000;19
28;SE;2001;7
27;AL;2001;23
26;PE;2001;127
25;PB;2001;24
24;RN;2001;16
23;CE;2001;47
22;PI;2001;20
21;MA;2001;25
17;TO;2001;10
16;AP;2001;7
15;PA;2001;46
14;RR;2001;3
13;AM;2001;27
12;AC;2001;8
11;RO;2001;32
53;DF;2001;28
52;GO;2001;58
51;MT;2001;43
50;MS;2001;32
43;RS;2001;73
42;SC;2001;25
41;PR;2001;95
35;SP;2001;538
33;RJ;2001;236
32;ES;2001;60
31;MG;2001;102
29;BA;2001;39
17;TO;2002;9
21;MA;2002;13
22;PI;2002;9
23;CE;2002;60
24;RN;2002;10
25;PB;2002;22
26;PE;2002;113
27;AL;2002;30
28;SE;2002;16
29;BA;2002;65
31;MG;2002;120
32;ES;2002;74
33;RJ;2002;225
35;SP;2002;533
41;PR;2002;86
53;DF;2002;31
52;GO;2002;62
51;MT;2002;37
50;MS;2002;30
43;RS;2002;76
42;SC;2002;32
11;RO;2002;17
12;AC;2002;6
13;AM;2002;17
14;RR;2002;7
15;PA;2002;31
16;AP;2002;5
13;AM;2003;19
27;AL;2003;29
26;PE;2003;132
25;PB;2003;14
24;RN;2003;17
23;CE;2003;44
22;PI;2003;19
21;MA;2003;30
17;TO;2003;7
16;AP;2003;8
15;PA;2003;47
14;RR;2003;3
28;SE;2003;12
12;AC;2003;9
11;RO;2003;24
53;DF;2003;26
52;GO;2003;66
51;MT;2003;38
50;MS;2003;26
43;RS;2003;61
42;SC;2003;30
41;PR;2003;102
35;SP;2003;522
33;RJ;2003;214
32;ES;2003;57
31;MG;2003;179
29;BA;2003;68
17;TO;2004;8
21;MA;2004;25
22;PI;2004;17
23;CE;2004;52
24;RN;2004;9
25;PB;2004;17
26;PE;2004;142
27;AL;2004;34
28;SE;2004;14
29;BA;2004;89
31;MG;2004;185
32;ES;2004;61
33;RJ;2004;205
35;SP;2004;401
41;PR;2004;119
42;SC;2004;23
43;RS;2004;80
50;MS;2004;23
51;MT;2004;49
52;GO;2004;59
53;DF;2004;26
11;RO;2004;15
12;AC;2004;4
13;AM;2004;19
14;RR;2004;6
15;PA;2004;43
16;AP;2004;8
28;SE;2005;11
27;AL;2005;36
26;PE;2005;134
25;PB;2005;25
24;RN;2005;21
23;CE;2005;59
22;PI;2005;14
21;MA;2005;30
17;TO;2005;8
16;AP;2005;6
15;PA;2005;57
14;RR;2005;2
13;AM;2005;23
